species,ID,date_collected,date_processed,net_ID,length_mm,weight_g,weight_kg,gear_type,general_sample_notes
ARCS,01,16-Jul-2021,20-Jul-2021,220,340,NA,0.41,gill,
ARCS,02,16-Jul-2021,20-Jul-2021,220,250,NA,0.15,gill,
ARCS,03,16-Jul-2021,20-Jul-2021,220,266,NA,0.19,gill,
ARCS,04,16-Jul-2021,20-Jul-2021,220,347,NA,0.45,gill,
ARCS,05,21-Jul-2021,27-Jul-2021,220,259,NA,0.17,gill,
ARCS,06,25-Jul-2021,30-Jul-2021,220,338,NA,0.57,gill,
ARCS,07,28-Jul-2021,30-Jul-2021,220,242,NA,0.16,gill,
ARCS,08,28-Jul-2021,30-Jul-2021,220,344,NA,0.52,gill,
ARCS,09,28-Jul-2021,30-Jul-2021,220,273,NA,0.20,gill,
ARCS,10,18-Jul-2021,03-Aug-2021,220,340,NA,0.53,gill,
ARCS,11,25-Jul-2021,03-Aug-2021,220,319,NA,0.36,gill,
ARCS,12,25-Jul-2021,03-Aug-2021,220,338,NA,0.48,gill,
ARCS,13,25-Jul-2021,03-Aug-2021,220,339,NA,0.56,gill,
ARCS,14,25-Jul-2021,03-Aug-2021,220,361,NA,0.66,gill,
ARCS,15,16-Jul-2022,24-Jul-2022,230,359,503.00,0.503,gill,
ARCS,16,17-Jul-2022,24-Jul-2022,220,285,209.92,0.20992,gill,
ARCS,17,17-Jul-2022,24-Jul-2022,220,304,299.34,0.29934,gill,
ARCS,18,17-Jul-2022,24-Jul-2022,220,288,246.12,0.24612,gill,
ARCS,19,17-Jul-2022,24-Jul-2022,220,341,494.95,0.49495,gill,
ARCS,20,17-Jul-2022,24-Jul-2022,220,331,397.71,0.39771,gill,
ARCS,21,22-Jul-2022,27-Jul-2022,220,295,277.75,0.27775,gill,
ARCS,22,22-Jul-2022,27-Jul-2022,220,271,203.18,0.20318,gill,
ARCS,23,22-Jul-2022,27-Jul-2022,220,288,234.46,0.23446,gill,
ARCS,24,22-Jul-2022,27-Jul-2022,220,276,175.08,0.17508,gill,
ARCS,25,22-Jul-2022,27-Jul-2022,220,290,256.92,0.25692,gill,
ARCS,26,22-Jul-2022,27-Jul-2022,220,275,177.38,0.17738,gill,
ARCS,27,09-Jul-2022,31-Jul-2022,230,267,214.04,0.21404,gill,
ARCS,28,09-Jul-2022,31-Jul-2022,230,304,299.73,0.29973,gill,
ARCS,29,09-Jul-2022,31-Jul-2022,230,273,207.10,0.2071,gill,
ARCS,30,23-Jul-2022,31-Jul-2022,220,282,250.64,0.25064,gill,
ARCS,31,23-Jul-2022,31-Jul-2022,220,289,252.79,0.25279,gill,
ARCS,32,23-Jul-2022,31-Jul-2022,220,277,231.99,0.23199,gill,
ARCS,33,23-Jul-2022,31-Jul-2022,220,281,242.94,0.24294,gill,
ARCS,34,23-Jul-2022,31-Jul-2022,220,315,332.21,0.33221,gill,
ARCS,35,23-Jul-2022,31-Jul-2022,220,284,241.45,0.24145,gill,
ARCS,36,23-Jul-2022,31-Jul-2022,220,263,190.13,0.19013,gill,
ARCS,37,23-Jul-2022,31-Jul-2022,220,295,264.44,0.26444,gill,
ARCS,38,23-Jul-2022,31-Jul-2022,220,290,266.31,0.26631,gill,
ARCS,39,23-Jul-2022,31-Jul-2022,220,304,320.40,0.3204,gill,
ARCS,40,23-Jul-2022,31-Jul-2022,220,283,241.21,0.24121,gill,
ARCS,41,23-Jul-2022,31-Jul-2022,220,272,210.46,0.21046,gill,
ARCS,42,23-Jul-2022,31-Jul-2022,220,292,274.79,0.27479,gill,
ARCS,43,23-Jul-2022,31-Jul-2022,220,286,294.30,0.2943,gill,
ARCS,44,23-Jul-2022,31-Jul-2022,220,266,199.54,0.19954,gill,
ARCS,45,23-Jul-2022,31-Jul-2022,220,277,233.21,0.23321,gill,
ARCS,46,23-Jul-2022,31-Jul-2022,220,295,269.58,0.26958,gill,
ARCS,47,23-Jul-2022,31-Jul-2022,220,276,203.66,0.20366,gill,
ARCS,48,23-Jul-2022,31-Jul-2022,220,114,11.21,0.01121,gill,
ARCS,49,23-Jul-2022,31-Jul-2022,220,303,298.92,0.29892,gill,
ARCS,50,23-Jul-2022,31-Jul-2022,220,276,213.90,0.2139,gill,
ARCS,51,23-Jul-2022,31-Jul-2022,220,308,328.12,0.32812,gill,
ARCS,52,23-Jul-2022,31-Jul-2022,220,287,239.10,0.2391,gill,
ARCS,53,15-Jul-2022,31-Jul-2022,220,289,283.90,0.2839,gill,
ARCS,54,01-Aug-2022,01-Aug-2022,230,317,336.08,0.33608,gill,
ARCS,55,01-Aug-2022,01-Aug-2022,230,247,130.47,0.13047,gill,
ARCS,56,01-Aug-2022,03-Aug-2022,220,292,250.90,0.2509,gill,
ARCS,57,01-Aug-2022,03-Aug-2022,220,280,209.24,0.20924,gill,
ARCS,58,01-Aug-2022,03-Aug-2022,220,305,312.19,0.31219,gill,
ARCS,59,01-Aug-2022,03-Aug-2022,220,283,239.97,0.23997,gill,
ARCS,60,01-Aug-2022,03-Aug-2022,220,281,247.63,0.24763,gill,
ARCS,61,19-Jul-2022,03-Aug-2022,214,289,248.56,0.24856,gill,
ARCS,62,19-Jul-2022,03-Aug-2022,214,279,215.83,0.21583,gill,
ARCS,63,19-Jul-2022,03-Aug-2022,214,305,298.44,0.29844,gill,
ARCS,64,19-Jul-2022,03-Aug-2022,214,295,290.31,0.29031,gill,
ARCS,65,04-Aug-2022,04-Aug-2022,214,304,268.00,0.268,gill,
ARCS,66,04-Jul-2022,06-Aug-2022,230,192,62.94,0.06294,gill,
ARCS,67,04-Jul-2022,06-Aug-2022,230,177,47.30,0.0473,gill,
ARCS,68,05-Jul-2022,06-Aug-2022,230,265,195.20,0.1952,gill,
ARCS,69,05-Jul-2022,06-Aug-2022,230,279,249.95,0.24995,gill,
ARCS,70,05-Jul-2022,06-Aug-2022,230,275,219.43,0.21943,gill,
ARCS,71,07-Jul-2022,06-Aug-2022,214,288,247.55,0.24755,gill,
ARCS,72,13-Jul-2022,06-Aug-2022,220,250,146.60,0.1466,gill,
ARCS,73,07-Aug-2022,07-Aug-2022,220,308,298.20,0.2982,gill,
ARCS,74,07-Aug-2022,07-Aug-2022,220,354,439.15,0.43915,gill,
ARCS,75,07-Aug-2022,07-Aug-2022,218,117,13.46,0.01346,fyke,
ARCS,76,08-Aug-2022,09-Aug-2022,230,175,48.95,0.04895,fyke,
ARCS,77,08-Aug-2022,09-Aug-2022,230,116,12.65,0.01265,fyke,
ARCS,78,08-Aug-2022,09-Aug-2022,230,106,9.82,0.00982,fyke,
ARCS,79,08-Aug-2022,09-Aug-2022,218,159,40.30,0.0403,fyke,
ARCS,80,08-Aug-2022,09-Aug-2022,218,163,39.24,0.03924,fyke,
ARCS,81,08-Aug-2022,09-Aug-2022,214,152,31.50,0.0315,fyke,
ARCS,82,08-Aug-2022,09-Aug-2022,214,117,14.09,0.01409,fyke,
ARCS,83,08-Aug-2022,09-Aug-2022,214,158,40.52,0.04052,fyke,
ARCS,84,08-Aug-2022,09-Aug-2022,214,208,93.28,0.09328,fyke,
ARCS,85,08-Aug-2022,09-Aug-2022,220,400,915.53,0.91553,fyke,
ARCS,86,19-Jul-2022,09-Aug-2022,220,315,374.04,0.37404,gill,
ARCS,87,19-Jul-2022,09-Aug-2022,220,297,269.42,0.26942,gill,
ARCS,88,19-Jul-2022,09-Aug-2022,220,381,656.92,0.65692,gill,
ARCS,89,13-Jul-2022,09-Aug-2022,214,109,14.57,0.01457,gill,
ARCS,90,10-Aug-2022,10-Aug-2022,220,179,56.63,0.05663,fyke,
ARCS,91,10-Aug-2022,10-Aug-2022,218,145,25.80,0.0258,fyke,
ARCS,92,10-Aug-2022,10-Aug-2022,230,137,19.08,0.01908,fyke,
ARCS,93,11-Aug-2022,11-Aug-2022,230,168,46.33,0.04633,fyke,
ARCS,94,11-Aug-2022,11-Aug-2022,230,130,18.11,0.01811,fyke,
ARCS,95,11-Aug-2022,11-Aug-2022,214,366,491.70,0.4917,fyke,
ARCS,96,20-Jul-2022,12-Aug-2022,220,339,415.70,0.4157,gill,
ARCS,97,20-Jul-2022,12-Aug-2022,220,284,234.69,0.23469,gill,
ARCS,98,20-Jul-2022,12-Aug-2022,220,285,269.61,0.26961,gill,
ARCS,99,20-Jul-2022,12-Aug-2022,220,294,263.05,0.26305,gill,
ARCS,100,20-Jul-2022,12-Aug-2022,220,285,282.02,0.28202,gill,
ARCS,101,20-Jul-2022,12-Aug-2022,220,296,295.95,0.29595,gill,
ARCS,102,20-Jul-2022,12-Aug-2022,220,278,226.56,0.22656,gill,
ARCS,103,20-Jul-2022,12-Aug-2022,220,285,257.48,0.25748,gill,
ARCS,104,20-Jul-2022,12-Aug-2022,220,304,313.08,0.31308,gill,
ARCS,105,20-Jul-2022,12-Aug-2022,220,282,242.07,0.24207,gill,
ARCS,106,20-Jul-2022,12-Aug-2022,220,287,248.36,0.24836,gill,
ARCS,107,20-Jul-2022,12-Aug-2022,220,276,227.76,0.22776,gill,
ARCS,108,20-Jul-2022,12-Aug-2022,220,291,303.10,0.3031,gill,
ARCS,109,20-Jul-2022,12-Aug-2022,220,294,291.28,0.29128,gill,
ARCS,110,20-Jul-2022,12-Aug-2022,220,273,209.99,0.20999,gill,
ARCS,111,20-Jul-2022,12-Aug-2022,220,266,193.82,0.19382,gill,
ARCS,112,20-Jul-2022,12-Aug-2022,220,271,202.07,0.20207,gill,
ARCS,113,20-Jul-2022,12-Aug-2022,220,274,212.98,0.21298,gill,
ARCS,114,12-Aug-2022,12-Aug-2022,218,187,62.68,0.06268,fyke,
ARCS,115,14-Aug-2022,14-Aug-2022,214,353,472.16,0.47216,fyke,
ARCS,116,14-Aug-2022,14-Aug-2022,220,298,307.48,0.30748,gill,
ARCS,117,14-Aug-2022,14-Aug-2022,220,303,304.43,0.30443,gill,
ARCS,118,20-Aug-2022,21-Aug-2022,230,203,82.03,0.08203,fyke,
ARCS,119,17-Aug-2022,21-Aug-2022,218,212,93.48,0.09348,fyke,
ARCS,120,17-Aug-2022,21-Aug-2022,218,370,645.08,0.64508,fyke,
ARCS,121,16-Aug-2022,21-Aug-2022,218,373,622.77,0.62277,fyke,
ARCS,122,16-Aug-2022,21-Aug-2022,214,126,17.31,0.01731,fyke,
ARCS,123,16-Aug-2022,21-Aug-2022,214,139,25.53,0.02553,fyke,
ARCS,124,19-Aug-2022,21-Aug-2022,220,304,332.76,0.33276,gill,
ARCS,125,19-Aug-2022,21-Aug-2022,220,294,275.68,0.27568,gill,
ARCS,126,19-Aug-2022,21-Aug-2022,220,283,264.71,0.26471,gill,
ARCS,127,19-Aug-2022,21-Aug-2022,220,325,364.56,0.36456,gill,
ARCS,128,19-Aug-2022,21-Aug-2022,220,347,517.60,0.5176,gill,
ARCS,129,19-Aug-2022,21-Aug-2022,220,283,234.00,0.234,gill,
ARCS,130,16-Aug-2022,21-Aug-2022,220,273,208.82,0.20882,gill,
ARCS,131,16-Aug-2022,21-Aug-2022,220,331,410.17,0.41017,gill,
ARCS,132,16-Aug-2022,21-Aug-2022,220,284,264.69,0.26469,gill,
ARCS,133,16-Aug-2022,21-Aug-2022,220,298,326.06,0.32606,gill,
ARCS,134,16-Aug-2022,21-Aug-2022,220,224,111.25,0.11125,gill,
ARCS,135,16-Aug-2022,21-Aug-2022,220,305,323.18,0.32318,gill,
ARCS,136,16-Aug-2022,21-Aug-2022,220,299,284.92,0.28492,gill,
ARCS,137,16-Aug-2022,21-Aug-2022,220,287,296.23,0.29623,gill,
ARCS,138,16-Aug-2022,21-Aug-2022,220,303,307.69,0.30769,gill,
ARCS,139,17-Aug-2022,21-Aug-2022,220,302,319.59,0.31959,gill,
ARCS,140,17-Aug-2022,21-Aug-2022,220,290,269.11,0.26911,gill,
ARCS,141,17-Aug-2022,21-Aug-2022,220,285,257.54,0.25754,gill,
ARCS,142,17-Aug-2022,21-Aug-2022,220,288,262.03,0.26203,gill,
ARCS,143,16-Aug-2022,22-Aug-2022,214,315,359.82,0.35982,gill,
ARCS,144,20-Aug-2022,22-Aug-2022,220,321,346.61,0.34661,gill,
ARCS,145,20-Aug-2022,22-Aug-2022,220,304,355.31,0.35531,gill,
ARCS,146,20-Aug-2022,22-Aug-2022,220,282,249.47,0.24947,gill,
BDWF,01,14-Jul-2021,14-Jul-2021,218,290,NA,0.26,gill,
BDWF,02,14-Jul-2021,14-Jul-2021,218,354,NA,0.45,gill,
BDWF,03,15-Jul-2021,17-Jul-2021,214,228,NA,0.15,gill,
BDWF,04,15-Jul-2021,17-Jul-2021,214,232,NA,0.16,gill,
BDWF,05,15-Jul-2021,17-Jul-2021,214,208,NA,0.12,gill,
BDWF,06,15-Jul-2021,17-Jul-2021,214,205,NA,0.12,gill,
BDWF,07,15-Jul-2021,17-Jul-2021,214,209,NA,0.14,gill,
BDWF,08,15-Jul-2021,17-Jul-2021,214,172,NA,0.06,gill,
BDWF,09,16-Jul-2021,20-Jul-2021,220,346,NA,0.51,gill,
BDWF,10,16-Jul-2021,20-Jul-2021,220,338,NA,0.46,gill,
BDWF,11,16-Jul-2021,20-Jul-2021,220,305,NA,0.34,gill,
BDWF,12,16-Jul-2021,20-Jul-2021,220,357,NA,0.56,gill,
BDWF,13,16-Jul-2021,20-Jul-2021,220,339,NA,0.39,gill,
BDWF,14,21-Jul-2021,27-Jul-2021,220,364,NA,0.64,gill,
BDWF,15,21-Jul-2021,27-Jul-2021,220,420,NA,0.98,gill,
BDWF,16,19-Jul-2021,27-Jul-2021,218,316,NA,0.39,gill,
BDWF,17,26-Jul-2021,27-Jul-2021,218,327,NA,0.41,gill,
BDWF,18,25-Jul-2021,30-Jul-2021,220,356,NA,0.46,gill,
BDWF,19,19-Jul-2021,30-Jul-2021,220,309,NA,0.37,gill,
BDWF,20,19-Jul-2021,30-Jul-2021,220,322,NA,0.39,gill,
BDWF,21,19-Jul-2021,30-Jul-2021,220,327,NA,0.45,gill,
BDWF,22,21-Jul-2021,30-Jul-2021,220,389,NA,0.80,gill,
BDWF,23,19-Jul-2021,30-Jul-2021,218,366,NA,0.65,gill,
BDWF,24,27-Jul-2021,30-Jul-2021,218,260,NA,0.21,gill,
BDWF,25,19-Jul-2021,03-Aug-2021,218,343,NA,0.48,gill,
BDWF,26,21-Jul-2021,03-Aug-2021,220,343,NA,0.48,gill,
BDWF,27,21-Jul-2021,03-Aug-2021,220,318,NA,0.41,gill,
BDWF,28,17-Jul-2021,03-Aug-2021,230,190,NA,0.08,gill,
BDWF,29,17-Jul-2021,03-Aug-2021,230,228,NA,0.16,gill,
BDWF,30,17-Jul-2021,03-Aug-2021,230,300,NA,0.37,gill,
BDWF,31,18-Jul-2021,03-Aug-2021,220,356,NA,0.54,gill,
BDWF,32,18-Jul-2021,03-Aug-2021,220,353,NA,0.52,gill,
BDWF,33,18-Jul-2021,03-Aug-2021,220,332,NA,0.46,gill,
BDWF,34,18-Jul-2021,03-Aug-2021,220,342,NA,0.57,gill,
BDWF,35,18-Jul-2021,03-Aug-2021,220,323,NA,0.40,gill,
BDWF,36,18-Jul-2021,06-Aug-2021,214,329,NA,0.43,gill,
BDWF,37,18-Jul-2021,06-Aug-2021,214,291,NA,0.33,gill,
BDWF,38,18-Jul-2021,06-Aug-2021,214,404,NA,0.77,gill,
BDWF,39,20-Jul-2021,06-Aug-2021,220,346,NA,0.50,gill,
BDWF,40,20-Jul-2021,06-Aug-2021,220,319,NA,0.35,gill,
BDWF,41,20-Jul-2021,06-Aug-2021,220,344,NA,0.48,gill,
BDWF,42,20-Jul-2021,06-Aug-2021,220,362,NA,0.66,gill,
BDWF,43,20-Jul-2021,06-Aug-2021,220,295,NA,0.31,gill,
BDWF,44,20-Jul-2021,06-Aug-2021,220,341,NA,0.47,gill,
BDWF,45,20-Jul-2021,06-Aug-2021,220,401,NA,0.74,gill,
BDWF,46,20-Jul-2021,06-Aug-2021,220,346,NA,0.49,gill,
BDWF,47,22-Jul-2022,27-Jul-2022,220,350,478.05,0.47805,gill,
BDWF,48,22-Jul-2022,27-Jul-2022,220,371,771.09,0.77109,gill,
BDWF,49,22-Jul-2022,27-Jul-2022,220,518,"1,613.58",1.61358,gill,
BDWF,50,22-Jul-2022,27-Jul-2022,220,320,440.95,0.44095,gill,
BDWF,51,22-Jul-2022,27-Jul-2022,220,107,12.62,0.01262,gill,
BDWF,52,22-Jul-2022,27-Jul-2022,220,109,12.26,0.01226,gill,No otoliths
BDWF,53,22-Jul-2022,27-Jul-2022,220,105,13.92,0.01392,gill,
BDWF,54,09-Jul-2022,31-Jul-2022,230,299,344.63,0.34463,gill,
BDWF,55,09-Jul-2022,31-Jul-2022,230,208,114.86,0.11486,gill,
BDWF,56,09-Jul-2022,31-Jul-2022,230,276,252.30,0.2523,gill,
BDWF,57,09-Jul-2022,31-Jul-2022,230,260,226.35,0.22635,gill,
BDWF,58,09-Jul-2022,31-Jul-2022,230,290,326.23,0.32623,gill,
BDWF,59,09-Jul-2022,31-Jul-2022,230,259,241.72,0.24172,gill,
BDWF,60,09-Jul-2022,31-Jul-2022,230,238,191.60,0.1916,gill,
BDWF,61,09-Jul-2022,31-Jul-2022,230,221,146.91,0.14691,gill,
BDWF,62,06-Jul-2022,03-Aug-2022,214,407,874.39,0.87439,gill,"T-bar anchor tag: ""ORNRC 6126"""
BDWF,63,06-Jul-2022,03-Aug-2022,214,342,491.67,0.49167,gill,
BDWF,64,09-Jul-2022,03-Aug-2022,220,423,995.04,0.99504,gill,
BDWF,65,04-Aug-2022,04-Aug-2022,230,264,183.78,0.18378,gill,
BDWF,66,04-Jul-2022,06-Aug-2022,230,334,461.95,0.46195,gill,
BDWF,67,04-Jul-2022,06-Aug-2022,230,172,54.14,0.05414,gill,No eyeballs
BDWF,68,04-Jul-2022,06-Aug-2022,230,231,147.62,0.14762,gill,
BDWF,69,04-Jul-2022,06-Aug-2022,230,191,83.76,0.08376,gill,
BDWF,70,04-Jul-2022,06-Aug-2022,230,344,576.81,0.57681,gill,
BDWF,71,07-Jul-2022,06-Aug-2022,214,374,626.76,0.62676,gill,
BDWF,72,07-Aug-2022,07-Aug-2022,214,170,51.29,0.05129,fyke,
BDWF,73,07-Aug-2022,07-Aug-2022,220,135,23.89,0.02389,fyke,
BDWF,74,07-Aug-2022,07-Aug-2022,220,118,13.98,0.01398,fyke,
BDWF,75,07-Aug-2022,07-Aug-2022,220,119,16.19,0.01619,fyke,
BDWF,76,08-Aug-2022,09-Aug-2022,230,131,20.98,0.02098,fyke,
BDWF,77,08-Aug-2022,09-Aug-2022,214,157,47.87,0.04787,fyke,
BDWF,78,08-Aug-2022,09-Aug-2022,214,159,47.92,0.04792,fyke,
BDWF,79,08-Aug-2022,09-Aug-2022,220,116,15.64,0.01564,fyke,
BDWF,80,08-Aug-2022,09-Aug-2022,220,119,16.17,0.01617,fyke,
BDWF,81,08-Aug-2022,09-Aug-2022,220,122,20.32,0.02032,fyke,
BDWF,82,08-Aug-2022,09-Aug-2022,220,117,14.49,0.01449,fyke,
BDWF,83,06-Jul-2022,09-Aug-2022,214,465,"1,435.10",1.4351,gill,
BDWF,84,06-Jul-2022,09-Aug-2022,214,328,425.38,0.42538,gill,
BDWF,85,13-Jul-2022,09-Aug-2022,214,97,11.81,0.01181,gill,
BDWF,86,13-Jul-2022,09-Aug-2022,214,93,10.51,0.01051,gill,
BDWF,87,13-Jul-2022,09-Aug-2022,214,308,416.21,0.41621,gill,
BDWF,88,13-Jul-2022,09-Aug-2022,214,241,199.32,0.19932,gill,
BDWF,89,13-Jul-2022,09-Aug-2022,214,279,322.84,0.32284,gill,
BDWF,90,13-Jul-2022,09-Aug-2022,214,326,434.32,0.43432,gill,
BDWF,91,13-Jul-2022,09-Aug-2022,214,289,310.46,0.31046,gill,
BDWF,92,13-Jul-2022,09-Aug-2022,214,287,331.97,0.33197,gill,
BDWF,93,13-Jul-2022,09-Aug-2022,214,353,615.75,0.61575,gill,
BDWF,94,13-Jul-2022,09-Aug-2022,214,347,490.87,0.49087,gill,
BDWF,95,10-Aug-2022,10-Aug-2022,220,379,755.43,0.75543,gill,
BDWF,96,10-Aug-2022,10-Aug-2022,218,127,18.14,0.01814,fyke,
BDWF,97,10-Aug-2022,10-Aug-2022,230,196,81.00,0.081,fyke,
BDWF,98,10-Aug-2022,10-Aug-2022,230,133,22.68,0.02268,fyke,
BDWF,99,10-Aug-2022,10-Aug-2022,230,127,19.69,0.01969,fyke,
BDWF,100,09-Aug-2022,12-Aug-2022,214,191,83.43,0.08343,fyke,
BDWF,101,09-Aug-2022,12-Aug-2022,214,189,79.27,0.07927,fyke,
BDWF,102,13-Aug-2022,13-Aug-2022,230,281,256.51,0.25651,gill,
BDWF,103,13-Aug-2022,13-Aug-2022,230,317,371.99,0.37199,gill,
BDWF,104,14-Aug-2022,14-Aug-2022,220,323,443.96,0.44396,gill,
BDWF,105,14-Aug-2022,14-Aug-2022,220,322,377.95,0.37795,gill,
BDWF,106,18-Aug-2022,21-Aug-2022,218,250,175.45,0.17545,fyke,
BDWF,107,19-Aug-2022,21-Aug-2022,230,311,355.03,0.35503,gill,
BDWF,108,16-Aug-2022,21-Aug-2022,214,60,2.10,0.0021,fyke,
BDWF,109,16-Aug-2022,21-Aug-2022,214,56,1.81,0.00181,fyke,
BDWF,110,16-Aug-2022,21-Aug-2022,214,62,2.35,0.00235,fyke,
BDWF,111,16-Aug-2022,21-Aug-2022,214,55,1.66,0.00166,fyke,
BDWF,112,16-Aug-2022,21-Aug-2022,214,56,1.77,0.00177,fyke,
BDWF,113,17-Aug-2022,21-Aug-2022,230,330,469.91,0.46991,gill,
BDWF,114,17-Aug-2022,21-Aug-2022,230,262,215.45,0.21545,gill,
BDWF,115,17-Aug-2022,21-Aug-2022,230,313,352.41,0.35241,gill,
BDWF,116,17-Aug-2022,21-Aug-2022,220,345,498.65,0.49865,gill,
BDWF,117,16-Aug-2022,22-Aug-2022,214,465,"1,307.17",1.30717,gill,
BDWF,118,16-Aug-2022,22-Aug-2022,214,318,418.51,0.41851,gill,
BDWF,119,16-Aug-2022,22-Aug-2022,214,289,310.52,0.31052,gill,
BDWF,120,16-Aug-2022,22-Aug-2022,214,273,258.05,0.25805,gill,
BDWF,121,16-Aug-2022,22-Aug-2022,214,439,"1,192.60",1.1926,gill,
BDWF,122,16-Aug-2022,22-Aug-2022,214,394,910.04,0.91004,gill,
BDWF,123,16-Aug-2022,22-Aug-2022,214,444,"1,076.27",1.07627,gill,
BDWF,124,20-Aug-2022,22-Aug-2022,220,348,534.60,0.5346,gill,
BDWF,125,20-Aug-2022,22-Aug-2022,220,443,"1,024.36",1.02436,gill,
HBWF,01,14-Jul-2021,14-Jul-2021,218,216,NA,0.09,gill,
