tray_ID,date,Sample Wt.,N Signal,C Signal,Conc N,Conc C,d15N,d13C,Notes
eyeball01,03-Feb-2022,0.607,1.27,4.74,14.83,43.34,6.97,-15.79,
eyeball01,03-Feb-2022,0.716,1.57,5.79,15.47,44.91,6.91,-15.83,
eyeball01,03-Feb-2022,0.546,1.25,4.61,16.17,46.85,7.05,-15.76,
eyeball01,03-Feb-2022,0.551,1.23,4.51,15.83,45.42,7.29,-15.78,
eyeball01,03-Feb-2022,0.324,0.7,2.62,15.3,44.79,7.26,-15.73,
eyeball01,03-Feb-2022,0.679,1.51,5.52,15.69,45.1,7.09,-15.8,
eyeball01,03-Feb-2022,0.318,0.66,2.44,14.57,42.56,7.14,-15.78,
eyeball01,03-Feb-2022,0.376,0.81,2.99,15.16,44.14,6.98,-15.79,
eyeball01,03-Feb-2022,0.618,1.32,4.81,15.11,43.21,6.84,-15.77,
eyeball01,03-Feb-2022,0.328,,,,,,,autosampler malfunction - samples dropped together
eyeball01,03-Feb-2022,0.505,1.06,3.88,14.86,42.68,6.98,-15.75,
eyeball02,28-Feb-2022,0.535,5.76,6.09,15.31,44.15,7.03,-15.78,
eyeball02,28-Feb-2022,0.56,6.03,6.4,15.33,44.29,7.05,-15.8,
eyeball02,28-Feb-2022,0.679,7,7.49,14.65,42.75,7,-15.81,
eyeball02,28-Feb-2022,0.678,7.35,7.79,15.42,44.51,7.03,-15.82,
eyeball02,28-Feb-2022,0.492,5.34,5.64,15.43,44.46,7,-15.8,
eyeball02,28-Feb-2022,0.3,3.76,8.61,17.82,51.41,6.95,-15.85,
eyeball02,28-Feb-2022,0.573,6.19,6.57,15.36,44.42,6.94,-15.78,
eyeball02,28-Feb-2022,0.482,5.22,5.57,15.39,44.8,7.01,-15.88,
eyeball02,28-Feb-2022,0.652,7.11,7.57,15.51,45.02,6.98,-15.88,
eyeball02,28-Feb-2022,0.439,5.37,5.73,17.38,50.59,6.98,-15.87,
eyeball02,28-Feb-2022,0.45,5.78,6.18,18.27,53.23,6.98,-15.89,
eyeball03,08-Jun-2022,0.574,1.58,9.43,17.52,52.37,6.95,-15.85,
eyeball03,08-Jun-2022,0.624,0.76,4.33,7.78,22.14,6.99,-15.74,
eyeball03,08-Jun-2022,0.457,1.16,6.71,16.24,46.79,7.11,-15.77,
eyeball03,08-Jun-2022,0.367,0.62,3.46,10.7,30.04,6.92,-15.85,
eyeball03,08-Jun-2022,0.635,1.61,9.44,16.14,47.41,7.22,-15.78,
eyeball03,08-Jun-2022,0.576,1.16,6.66,12.82,36.87,7.15,-15.78,
eyeball03,08-Jun-2022,0.344,0.82,4.64,15.17,42.99,6.93,-15.82,
eyeball03,08-Jun-2022,0.546,1.17,6.76,13.7,39.49,7.15,-15.8,
eyeball03,08-Jun-2022,0.34,0.83,4.71,15.52,44.17,6.86,-15.81,
eyeball04,09-Jun-2022,0.369,0.87,4.25,15.32,45.45,6.66,-15.8,
eyeball04,09-Jun-2022,0.693,1.66,8.34,15.58,47.45,6.79,-15.75,
eyeball04,09-Jun-2022,0.491,1.02,4.8,13.48,38.57,7.08,-15.79,
eyeball04,09-Jun-2022,0.369,0.87,4.04,15.34,43.17,7.35,-15.75,
eyeball04,09-Jun-2022,0.407,0.99,4.65,15.91,45.1,7.27,-15.77,
eyeball04,09-Jun-2022,0.417,1.02,4.8,15.98,45.4,7.18,-15.86,
eyeball04,09-Jun-2022,0.606,1.42,6.77,15.26,44.09,7.28,-15.87,
eyeball04,09-Jun-2022,0.669,1.6,7.66,15.54,45.16,7.11,-15.79,
eyeball05,13-Feb-2023,0.455,1.2,6.24,15.11,42.23,6.87,-15.42,
eyeball05,13-Feb-2023,0.679,1.85,9.88,15.6,44.85,7.1,-15.8,
eyeball05,13-Feb-2023,0.466,1.26,6.78,15.54,44.82,6.89,-15.74,
eyeball05,13-Feb-2023,0.388,1.03,5.13,15.24,40.73,6.86,-15.84,
eyeball05,13-Feb-2023,0.524,1.31,6.33,14.34,37.24,7.22,-15.88,
eyeball05,13-Feb-2023,0.367,1.19,6.21,18.59,52.18,7.04,-15.84,
eyeball05,13-Feb-2023,0.373,1.01,5.45,15.48,45.05,7.1,-15.77,
eyeball05,13-Feb-2023,0.583,1.46,8.36,14.31,44.21,7.1,-15.81,
eyeball05,13-Feb-2023,0.417,1.13,6.36,15.55,47.03,7.11,-15.78,
eyeball05,13-Feb-2023,0.387,0.9,5.2,13.39,41.37,7.18,-15.78,
eyeball05,13-Feb-2023,0.381,1.01,5.88,15.15,47.59,7.01,-15.75,
eyeball06,14-Feb-2023,0.373,0.98,5.91,14.92,45.66,7.06,-15.68,
eyeball06,14-Feb-2023,0.326,0.88,5.36,15.06,46.21,6.98,-15.74,
eyeball06,14-Feb-2023,0.397,1.01,5.93,15.58,46.05,6.78,-15.77,
eyeball06,14-Feb-2023,0.649,1.56,8.94,15.37,44.35,7.07,-15.61,
eyeball06,14-Feb-2023,0.399,0.96,5.34,16.09,45.27,6.98,-15.86,
eyeball06,14-Feb-2023,0.503,1.14,6.41,15.51,44.23,7.09,-15.8,
eyeball06,14-Feb-2023,0.417,0.94,5.25,15.65,44,7.05,-15.86,
eyeball06,14-Feb-2023,0.531,1.15,6.52,15.03,42.86,7.16,-15.77,
eyeball06,14-Feb-2023,0.394,0.84,4.68,15.25,42.79,7.08,-15.89,
eyeball06,14-Feb-2023,0.577,1.25,7.05,14.56,41.58,7.08,-15.78,