spp_ID,Prey_present,Relative_fullness,Total_contents_weight_g,Planerians/Flatworms,,,Isopods,,,Amphipods,,,Clams,,,Oligochaeta (Segmented Worms),,
,,,,Count,Weight_g,Relative_percent,Count,Weight_g,Relative_percent,Count,Weight_g,Relative_percent,Count,Weight_g,Relative_percent,Count,Weight_g,Relative_percent
HBWF_14,1,1,0.047,13,0.047,100,,,,,,,,,,,,
HBWF_17,0,0,0,,,,,,,,,,,,,,,
HBWF_18,1,2,0.61,,,,1,0.053,2,,0.434,88,8,0.123,10,,,
HBWF_15,0,0,0,,,,,,,,,,,,,,,
HBWF_12,1,1,0.025,,,,,,,1,0.025,100,,,,,,
HBWF_19,1,1,0.007,1,0.002,50,,,,,,,1,0.005,50,,,
HBWF_10,0,0,0,,,,,,,,,,,,,,,
HBWF_16,0,0,0,,,,9,,,,,,,,,,,
HBWF_11,1,2,0.865,,,,9,0.767,85,10,0.098,15,,,,,,
HBWF_9,0,0,0,,,,,,,,,,,,,,,
HBWF_5,1,1,0.284,,,,2,0.084,35,3,0.063,30,5,0.137,35,,,
HBWF_13,1,2,4.044,,,,50,3.981,98,5,0.063,2,,,,,,
HBWF_8,0,0,0,,,,,,,,,,,,,,,
HBWF_6,1,2,1.256,,,,10,0.85,60,25,0.334,37,2,0.062,3,,,
HBWF_7,0,0,0,,,,,,,,,,,,,,,
HBWF_1,0,0,0,,,,,,,,,,,,,,,
HBWF_3,0,0,0,,,,,,,,,,,,,,,
HBWF_2,0,0,0,,,,,,,,,,,,,,,
HBWF_4,0,0,0,,,,,,,,,,,,,,,
HBWF_33,1,1,0.121,,,,2,0.121,100,,,,,,,,,
HBWF_23,1,1,1.049,,,,2,0.202,20,12,0.847,80,,,,,,
HBWF_24,0,0,0,,,,,,,,,,,,,,,
HBWF_37,1,1,1.261,,,,8,1.261,100,,,,,,,,,
HBWF_34,0,0,0,,,,,,,,,,,,,,,
HBWF_31,1,1,,,,,,0.726,15,,0.281,25,,0.291,60,,,
HBWF_22,0,0,0,,,,,,,,,,,,,,,
HBWF_32,1,1,1.46,,,,23,1.039,50,18,0.421,50,,,,,,
HBWF_35,1,1,0.533,,,,13,0.533,100,,,,,,,,,
HBWF_30,0,0,0,,,,,,,,,,,,,,,
HBWF_20,0,0,0,,,,,,,,,,,,,,,
HBWF_27,0,0,0,,,,,,,,,,,,,,,
HBWF_21,0,0,0,,,,,,,,,,,,,,,
HBWF_25,0,0,0,,,,,,,,,,,,,,,
HBWF_26,1,1,0.108,,,,1,0.108,100,,,,,,,,,
HBWF_28,0,0,0,,,,,,,,,,,,,,,
BDWF_36,0,0,0,,,,,,,,,,,,,,,
BDWF_44,0,0,0,,,,,,,,,,,,,,,
BDWF_37,0,0,0,,,,,,,,,,,,,,,
BDWF_43,0,0,0,,,,,,,,,,,,,,,
BDWF_38,0,0,0,,,,,,,,,,,,,,,
BDWF_41,0,0,0,,,,,,,,,,,,,,,
BDWF_39,0,0,0,,,,,,,,,,,,,,,
BDWF_42,0,0,0,,,,,,,,,,,,,,,
BDWF_35,0,0,0,,,,,,,,,,,,,,,
BDWF_30,0,0,0,,,,,,,,,,,,,,,
BDWF_33,0,0,0,,,,,,,,,,,,,,,
BDWF_34,0,0,0,,,,,,,,,,,,,,,
BDWF_32,1,1,0.058,,,,,,,1,0.003,10,,,,2,0.055,90
BDWF_23,0,0,0,,,,,,,,,,,,,,,
BDWF_29,0,0,0,,,,,,,,,,,,,,,
BDWF_28,0,0,0,,,,,,,,,,,,,,,
BDWF_19,0,0,0,,,,,,,,,,,,,,,
BDWF_27,0,0,0,,,,,,,,,,,,,,,
BDWF_18,0,0,0,,,,,,,,,,,,,,,
BDWF_26,0,0,0,,,,,,,,,,,,,,,
BDWF_22,0,0,0,,,,,,,,,,,,,,,
BDWF_20,0,0,0,,,,,,,,,,,,,,,
BDWF_17,0,0,0,,,,,,,,,,,,,,,
BDWF_10,1,1,0.145,,,,,,,,,,,,,,0.145,100
BDWF_13,0,0,0,,,,,,,,,,,,,,,
BDWF_25,0,0,0,,,,,,,,,,,,,,,
BDWF_15,0,0,0,,,,,,,,,,,,,,,
BDWF_14,0,0,0,,,,,,,,,,,,,,,
LSCS_32,0,0,0,,,,,,,,,,,,,,,
LSCS_36,0,0,0,,,,,,,,,,,,,,,
LSCS_31,0,0,0,,,,,,,,,,,,,,,
LSCS_33,0,0,0,,,,,,,,,,,,,,,
LSCS_42,0,0,0,,,,,,,,,,,,,,,
LSCS_35,0,0,0,,,,,,,,,,,,,,,
LSCS_41,0,0,0,,,,,,,,,,,,,,,
LSCS_38,0,0,0,,,,,,,,,,,,,,,
LSCS_43,0,0,0,,,,,,,,,,,,,,,
LSCS_44,0,0,0,,,,,,,,,,,,,,,
LSCS_37,0,0,0,,,,,,,,,,,,,,,
ARCS_4,0,0,0,,,,,,,,,,,,,,,
ARCS_7,0,0,0,,,,,,,,,,,,,,,
ARCS_2,0,0,0,,,,,,,,,,,,,,,
ARCS_14,0,0,0,,,,,,,,,,,,,,,
ARCS_13,0,0,0,,,,,,,,,,,,,,,
ARCS_1,0,0,0,,,,,,,,,,,,,,,
ARCS_3,0,0,0,,,,,,,,,,,,,,,
ARCS_12,0,0,0,,,,,,,,,,,,,,,
ARCS_11,0,0,0,,,,,,,,,,,,,,,
ARCS_8,1,1,0.146,,,,,,,2,0.146,100,,,,,,
ARCS_9,0,0,0,,,,,,,,,,,,,,,
LSCS_26,0,0,0,,,,,,,,,,,,,,,
LSCS_13,0,0,0,,,,,,,,,,,,,,,
LSCS_25,0,0,0,,,,,,,,,,,,,,,
LSCS_30,0,0,0,,,,,,,,,,,,,,,
LSCS_24,0,0,0,,,,,,,,,,,,,,,
LSCS_28,0,0,0,,,,,,,,,,,,,,,
LSCS_27,0,0,0,,,,,,,,,,,,,,,
LSCS_23,0,0,0,,,,,,,,,,,,,,,
LSCS_16,0,0,0,,,,,,,,,,,,,,,
LSCS_7,0,0,0,,,,,,,,,,,,,,,
LSCS_1,0,0,0,,,,,,,,,,,,,,,
LSCS_6,0,0,0,,,,,,,,,,,,,,,
LSCS_15,0,0,0,,,,,,,,,,,,,,,
LSCS_14,0,0,0,,,,,,,,,,,,,,,
LSCS_8,0,0,0,,,,,,,,,,,,,,,
LSCS_5,0,0,0,,,,,,,,,,,,,,,
LSCS_18,0,0,0,,,,,,,,,,,,,,,
LSCS_3,0,0,0,,,,,,,,,,,,,,,
LSCS_9,0,0,0,,,,,,,,,,,,,,,
BDWF_8,0,0,0,,,,,,,,,,,,,,,
BDWF_6,0,0,0,,,,,,,,,,,,,,,
BDWF_5,0,0,0,,,,,,,,,,,,,,,
BDWF_3,0,0,0,,,,,,,,,,,,,,,
BDWF_2,0,0,0,,,,,,,,,,,,,,,
BDWF_7,0,0,0,,,,,,,,,,,,,,,